Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2013","2013","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2014","2014","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2015","2015","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2016","2016","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2017","2017","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2018","2018","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1323","Herbicides – Amides","2019","2019","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1990","1990","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1991","1991","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1992","1992","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1993","1993","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1994","1994","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1995","1995","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1996","1996","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1997","1997","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1998","1998","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","1999","1999","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2000","2000","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2001","2001","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2002","2002","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2003","2003","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2004","2004","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2005","2005","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2006","2006","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2007","2007","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2008","2008","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2009","2009","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2010","2010","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2011","2011","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2012","2012","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2013","2013","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2014","2014","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2015","2015","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2016","2016","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2017","2017","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2018","2018","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1324","Herbicides – Carbamates","2019","2019","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1990","1990","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1991","1991","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1992","1992","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1993","1993","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1994","1994","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1995","1995","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1996","1996","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1997","1997","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1998","1998","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","1999","1999","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2000","2000","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2001","2001","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2002","2002","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2003","2003","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2004","2004","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2005","2005","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2006","2006","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2007","2007","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2008","2008","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2009","2009","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2010","2010","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2011","2011","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2012","2012","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2013","2013","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2014","2014","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2015","2015","","","",""
