Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20142016","2014-2016","I$ per person","689","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2015","2015","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20152016","2015-2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20152017","2015-2017","I$ per person","457","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2016","2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20162018","2016-2018","I$ per person","224","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2017","2017","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20172019","2017-2019","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2018","2018","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20182020","2018-2020","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2019","2019","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2020","2020","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","19992001","1999-2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2000","2000","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20002002","2000-2002","kcal/capita/day","2896","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2001","2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20012003","2001-2003","kcal/capita/day","2960","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2002","2002","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20022004","2002-2004","kcal/capita/day","3025","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2003","2003","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20032005","2003-2005","kcal/capita/day","3075","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2004","2004","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20042006","2004-2006","kcal/capita/day","3085","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2005","2005","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20052007","2005-2007","kcal/capita/day","3092","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2006","2006","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20062007","2006-2007","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20062008","2006-2008","kcal/capita/day","3124","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2007","2007","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20072008","2007-2008","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20072009","2007-2009","kcal/capita/day","3145","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2008","2008","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20082009","2008-2009","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20082010","2008-2010","kcal/capita/day","3184","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2009","2009","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20092010","2009-2010","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20092011","2009-2011","kcal/capita/day","3219","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2010","2010","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20102011","2010-2011","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20102012","2010-2012","kcal/capita/day","3245","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2011","2011","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20112012","2011-2012","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20112013","2011-2013","kcal/capita/day","3255","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2012","2012","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20122013","2012-2013","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20122014","2012-2014","kcal/capita/day","3264","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2013","2013","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20132014","2013-2014","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20132015","2013-2015","kcal/capita/day","3268","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2014","2014","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20142015","2014-2015","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20142016","2014-2016","kcal/capita/day","3261","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2015","2015","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20152016","2015-2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20152017","2015-2017","kcal/capita/day","3244","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2016","2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20162018","2016-2018","kcal/capita/day","3262","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2017","2017","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/capita/day","3278","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2018","2018","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20182020","2018-2020","kcal/capita/day","3274","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2019","2019","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","2020","2020","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","19992001","1999-2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","2000","2000","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20002002","2000-2002","%","34","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","2001","2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20012003","2001-2003","%","35","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","2002","2002","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20022004","2002-2004","%","36","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","2003","2003","","","","",""
