Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1994","1994","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1995","1995","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1996","1996","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1997","1997","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1998","1998","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1999","1999","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2000","2000","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2001","2001","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2002","2002","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2003","2003","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2004","2004","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2005","2005","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2006","2006","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2007","2007","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2008","2008","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2009","2009","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2010","2010","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2011","2011","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2012","2012","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","2013","2013","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1961","1961","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1962","1962","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1963","1963","","","",""
